date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:03	3494/3494	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-1.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-1.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:04	35410/35410	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/productslide-5.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/productslide-5.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:04	4673/4673	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-2.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-2.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:05	7029/7029	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-3.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-items-3.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:05	10968/10968	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Nov%202023%2019:10:42%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar9.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar9.svg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:07	12163/12163	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Nov%202023%2019:10:42%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar2.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar2.svg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:07	22161/22161	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Nov%202023%2019:10:42%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar12.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar12.svg	(from https://pixelwibes.com/template/ebazar/html/dist/product-detail.html)
11:04:08	2546/2546	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/upload.png	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/upload.png	(from https://pixelwibes.com/template/ebazar/html/dist/product-add.html)
11:04:12	10172/10172	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/cropimg-upload.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/cropimg-upload.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/product-add.html)
11:04:12	1300/1300	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-4.png	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-4.png	(from https://pixelwibes.com/template/ebazar/html/dist/checkout.html)
11:04:13	1490/1490	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-3.png	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-3.png	(from https://pixelwibes.com/template/ebazar/html/dist/checkout.html)
11:04:13	718/718	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-2.png	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-2.png	(from https://pixelwibes.com/template/ebazar/html/dist/checkout.html)
11:04:13	245/245	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-1.png	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/shipping-1.png	(from https://pixelwibes.com/template/ebazar/html/dist/checkout.html)
11:04:15	11786/11786	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-8.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-8.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/order-invoices.html)
11:04:16	23055/23055	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Nov%202023%2019:10:42%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar4.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar4.svg	(from https://pixelwibes.com/template/ebazar/html/dist/customers.html)
11:04:16	23057/23057	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/lg/avatar4.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/lg/avatar4.svg	(from https://pixelwibes.com/template/ebazar/html/dist/customer-detail.html)
11:04:16	3197/3197	---M-Z	200	added ('OK')	text/javascript	etag:%222902802-c7d-61d782cd98d80-gzip%22	https://pixelwibes.com/template/ebazar/html/js/page/profile.js	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/js/page/profile.js	(from https://pixelwibes.com/template/ebazar/html/dist/customer-detail.html)
11:04:17	108861/108861	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2019:10:40%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/product/Cropimg.jpg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/product/Cropimg.jpg	(from https://pixelwibes.com/template/ebazar/html/dist/categories-edit.html)
11:04:19	3284/3284	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2017%20Jul%202024%2021:30:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/images/logo.svg	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/images/logo.svg	(from https://pixelwibes.com/template/ebazar/html/dist/create-invoice.html)
11:04:20	15965/15965	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Jul%202024%2021:47:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/bundles/invoice.bundle.js	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/bundles/invoice.bundle.js	(from https://pixelwibes.com/template/ebazar/html/dist/create-invoice.html)
11:04:20	24939/24939	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2021:30:46%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/plugin/fullcalendar/main.min.css	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/plugin/fullcalendar/main.min.css	(from https://pixelwibes.com/template/ebazar/html/dist/calendar.html)
